Date,Pptn,PET,cum_effective_storage_mm,cum_designed_spill_cap_mm,cum_res_cat_area_km2,streamflow_mm
1997-07-01,14.601270352968363,1.4593815,467.9791632,141.1986209,1372.75435466,8.834090491306592
1997-07-02,20.427842164313528,1.385752,467.9791632,141.1986209,1372.75435466,4.300807212872946
1997-07-03,14.430853991776711,1.0906053,467.9791632,141.1986209,1372.75435466,2.802560148246225
1997-07-04,24.813962575810915,1.0167565,467.9791632,141.1986209,1372.75435466,2.912986279387558
1997-07-05,28.10126725150362,2.2017589,467.9791632,141.1986209,1372.75435466,7.215934719180142
1997-07-06,27.982538453891006,2.340951,467.9791632,141.1986209,1372.75435466,5.5060120790692055
1997-07-07,30.05380064794259,1.6702895,467.9791632,141.1986209,1372.75435466,7.215934719180142
1997-07-08,45.74878101943408,2.271412,467.9791632,141.1986209,1372.75435466,8.02960094864259
1997-07-09,58.27743571324906,2.5162957,467.9791632,141.1986209,1372.75435466,9.959764071916297
1997-07-10,36.57885103902766,2.8107586,467.9791632,141.1986209,1372.75435466,19.742112199062586
1997-07-11,33.44343858134684,2.6006496,467.9791632,141.1986209,1372.75435466,15.490247315781362
1997-07-12,46.192551581792856,2.751865,467.9791632,141.1986209,1372.75435466,8.751500310120553
1997-07-13,20.77686929440733,3.3016472,467.9791632,141.1986209,1372.75435466,7.953128558655518
1997-07-14,9.986091946580766,3.2346144,467.9791632,141.1986209,1372.75435466,3.425963071420839
1997-07-15,14.548498625347303,3.4950309,467.9791632,141.1986209,1372.75435466,2.2277936651033903
1997-07-16,5.419384328071973,3.2243574,467.9791632,141.1986209,1372.75435466,1.8989623881589792
1997-07-17,7.364927051221124,3.083851,467.9791632,141.1986209,1372.75435466,1.6891221500344529
1997-07-18,11.713557674829396,2.209953,467.9791632,141.1986209,1372.75435466,1.7129815357104194
1997-07-19,2.167884868679959,3.068846,467.9791632,141.1986209,1372.75435466,1.6710746659975038
1997-07-20,6.088293745685302,2.9718819,467.9791632,141.1986209,1372.75435466,1.0094355478293542
1997-07-21,2.528851254976904,2.9761956,467.9791632,141.1986209,1372.75435466,0.9485635253996448
1997-07-22,3.882741702869749,3.1352243,467.9791632,141.1986209,1372.75435466,0.9314337100425404
1997-07-23,1.940154883896254,2.988722,467.9791632,141.1986209,1372.75435466,0.7769594822686544
1997-07-24,2.63174235517114,2.5702262,467.9791632,141.1986209,1372.75435466,0.7503470905531534
1997-07-25,16.785828184078294,2.3387873,467.9791632,141.1986209,1372.75435466,0.7249582570774453
1997-07-26,25.632375001231026,1.3916829,467.9791632,141.1986209,1372.75435466,0.6955928593224096
1997-07-27,22.817592294048083,2.2709646,467.9791632,141.1986209,1372.75435466,0.4741288179198482
1997-07-28,18.07124190182768,2.405321,467.9791632,141.1986209,1372.75435466,2.9392927815431107
1997-07-29,21.16027079804365,2.2402306,467.9791632,141.1986209,1372.75435466,5.09917896433798
1997-07-30,64.44179134157828,2.7732496,467.9791632,141.1986209,1372.75435466,6.613332286082011
1997-07-31,55.10567152108733,2.3841727,467.9791632,141.1986209,1372.75435466,15.046707453856344
1997-08-01,70.01878233731377,1.8201637,467.9791632,141.1986209,1372.75435466,48.17760569185554
1997-08-02,33.84408795319367,2.9056737,467.9791632,141.1986209,1372.75435466,73.71938394753768
1997-08-03,26.358056180738,3.1379426,467.9791632,141.1986209,1372.75435466,52.76594909107988
1997-08-04,15.620396366093532,3.233714,467.9791632,141.1986209,1372.75435466,41.29509059301904
1997-08-05,32.07129044674926,1.7448812,467.9791632,141.1986209,1372.75435466,12.899362743019354
1997-08-06,63.34052300597482,2.1501293,467.9791632,141.1986209,1372.75435466,37.71618274162405
1997-08-07,76.05469667979226,2.229631,467.9791632,141.1986209,1372.75435466,79.2253960266069
1997-08-08,52.71320651310905,2.4739707,467.9791632,141.1986209,1372.75435466,103.2377264825476
1997-08-09,24.055364428845643,2.639959,467.9791632,141.1986209,1372.75435466,65.00153148901144
1997-08-10,3.943311715700055,2.4534922,467.9791632,141.1986209,1372.75435466,24.685287487826937
1997-08-11,5.554956455099247,2.2236574,467.9791632,141.1986209,1372.75435466,11.351561569681012
1997-08-12,10.51375804976002,2.5819604,467.9791632,141.1986209,1372.75435466,5.714016979834042
1997-08-13,14.390801804841876,2.629986,467.9791632,141.1986209,1372.75435466,8.433375167774331
1997-08-14,31.1174314461448,2.3505094,467.9791632,141.1986209,1372.75435466,7.742064762291198
1997-08-15,8.512472209311678,2.0237777,467.9791632,141.1986209,1372.75435466,16.518036237207614
1997-08-16,6.0527834775883225,2.355465,467.9791632,141.1986209,1372.75435466,9.941410698319398
1997-08-17,8.855233956834468,2.6718657,467.9791632,141.1986209,1372.75435466,7.188404658784795
1997-08-18,9.478179996205643,2.6726217,467.9791632,141.1986209,1372.75435466,5.22459368391678
1997-08-19,6.2070092558154,2.6836524,467.9791632,141.1986209,1372.75435466,5.766018205025251
1997-08-20,6.297119662942109,2.3140001,467.9791632,141.1986209,1372.75435466,4.814701673586072
1997-08-21,9.119333173589386,2.0478365,467.9791632,141.1986209,1372.75435466,4.001035444123623
1997-08-22,28.13718006534613,1.3456911,467.9791632,141.1986209,1372.75435466,3.924563054136551
1997-08-23,34.75529288178382,1.9884876,467.9791632,141.1986209,1372.75435466,30.07812042971527
1997-08-24,36.91447870593214,2.911381,467.9791632,141.1986209,1372.75435466,19.97458826462328
1997-08-25,28.133350381010462,2.6015768,467.9791632,141.1986209,1372.75435466,36.09496807389812
1997-08-26,26.466671436477835,2.4332414,467.9791632,141.1986209,1372.75435466,27.0161659346329
1997-08-27,25.86059586387056,2.3555357,467.9791632,141.1986209,1372.75435466,31.292501982709982
1997-08-28,12.517783145886984,2.4418447,467.9791632,141.1986209,1372.75435466,24.9605880917804
1997-08-29,4.489123290444938,2.849183,467.9791632,141.1986209,1372.75435466,13.480552906921105
1997-08-30,2.894867622418809,2.9480538,467.9791632,141.1986209,1372.75435466,4.94929307996332
1997-08-31,5.465316279547467,2.8935556,467.9791632,141.1986209,1372.75435466,5.5060120790692055
1997-09-01,2.8629505891960374,2.8966873,467.9791632,141.1986209,1372.75435466,4.649521311213995
1997-09-02,1.5479302602587892,2.9082975,467.9791632,141.1986209,1372.75435466,4.175392493294147
1997-09-03,3.717870171526314,2.9443245,467.9791632,141.1986209,1372.75435466,2.8493612509183137
1997-09-04,0.5578376747790835,3.1167672,467.9791632,141.1986209,1372.75435466,2.687851563265617
1997-09-05,0.1433722226249946,2.9829633,467.9791632,141.1986209,1372.75435466,1.6313090232042262
1997-09-06,0.5750165058939951,3.315371,467.9791632,141.1986209,1372.75435466,1.210099099155432
1997-09-07,0.5040282893961662,3.237319,467.9791632,141.1986209,1372.75435466,1.070613459819012
1997-09-08,0.0,3.077997,467.9791632,141.1986209,1372.75435466,0.9066566556867292
1997-09-09,0.3477740705455748,2.7784958,467.9791632,141.1986209,1372.75435466,0.7888891751066377
1997-09-10,0.0407774450702778,2.9231162,467.9791632,141.1986209,1372.75435466,0.737193839475377
1997-09-11,0.0009231853445056,3.108233,467.9791632,141.1986209,1372.75435466,0.7387232872751183
1997-09-12,0.0005433240897056,3.1825602,467.9791632,141.1986209,1372.75435466,0.7157815702789966
1997-09-13,0.2091952127681658,3.1632502,467.9791632,141.1986209,1372.75435466,0.6848867247242194
1997-09-14,0.0820403215210132,3.347038,467.9791632,141.1986209,1372.75435466,0.5047177739146771
1997-09-15,0.0441688831025537,3.1597235,467.9791632,141.1986209,1372.75435466,0.5879197342206117
1997-09-16,0.4127773755501726,3.1230307,467.9791632,141.1986209,1372.75435466,0.5802724952219045
1997-09-17,0.2692668886319275,3.6979125,467.9791632,141.1986209,1372.75435466,0.5203181414720399
1997-09-18,0.7441796462446403,3.4992597,467.9791632,141.1986209,1372.75435466,0.5169533563126086
1997-09-19,0.0463222865207266,3.2033684,467.9791632,141.1986209,1372.75435466,0.5038001052348322
1997-09-20,0.5674003521959394,2.9589548,467.9791632,141.1986209,1372.75435466,0.4774936030792793
1997-09-21,0.0,3.592211,467.9791632,141.1986209,1372.75435466,0.4435398619250193
1997-09-22,1.7303213636459387,1.8918587,467.9791632,141.1986209,1372.75435466,0.4765759343994345
1997-09-23,14.980297233505492,1.5323524,467.9791632,141.1986209,1372.75435466,0.7142521224792553
1997-09-24,4.557176668541515,2.6512716,467.9791632,141.1986209,1372.75435466,0.666533351127322
1997-09-25,0.8018470683593583,1.8951716,467.9791632,141.1986209,1372.75435466,0.6454269714908901
1997-09-26,2.0748736200050706,2.5486689,467.9791632,141.1986209,1372.75435466,0.6215675858149236
1997-09-27,0.0003397531224099,3.0735452,467.9791632,141.1986209,1372.75435466,0.6062731078175091
1997-09-28,5.53571431413405e-05,2.9610603,467.9791632,141.1986209,1372.75435466,0.5047177739146771
1997-09-29,0.2704478969387505,3.1899004,467.9791632,141.1986209,1372.75435466,0.5772135996224217
1997-09-30,5.515637305925201,2.5517356,467.9791632,141.1986209,1372.75435466,0.5643662381045935
1997-10-01,1.907832021715527,3.1138766,467.9791632,141.1986209,1372.75435466,0.5591661155854727
1997-10-02,2.631184607627248,3.1494904,467.9791632,141.1986209,1372.75435466,0.4435398619250193
1997-10-03,3.8015964332734313,3.4235475,467.9791632,141.1986209,1372.75435466,0.6258500396541996
1997-10-04,3.255412663610336,3.2379227,467.9791632,141.1986209,1372.75435466,0.6258500396541996
1997-10-05,1.5951043885246006,3.589186,467.9791632,141.1986209,1372.75435466,0.5047177739146771
1997-10-06,0.4148903759245808,3.6969047,467.9791632,141.1986209,1372.75435466,0.6056613286976126
1997-10-07,0.0,3.6533442,467.9791632,141.1986209,1372.75435466,0.5833313908213874
1997-10-08,0.5207896987096379,3.3791635,467.9791632,141.1986209,1372.75435466,0.5490717601071791
1997-10-09,4.021185873626307e-05,3.082268,467.9791632,141.1986209,1372.75435466,0.5276594909107988
1997-10-10,0.0465973712386717,3.1833766,467.9791632,141.1986209,1372.75435466,0.5270477117909023
1997-10-11,0.0009199676422634,3.4286978,467.9791632,141.1986209,1372.75435466,0.4894232959172627
1997-10-12,0.1833409665336943,3.5337267,467.9791632,141.1986209,1372.75435466,0.5047177739146771
1997-10-13,0.0,3.4416502,467.9791632,141.1986209,1372.75435466,0.498294093155763
1997-10-14,0.2828466929857122,3.2487352,467.9791632,141.1986209,1372.75435466,0.4875879585575729
1997-10-15,6.9243790852921006,3.2996774,467.9791632,141.1986209,1372.75435466,0.4900350750371592
1997-10-16,2.831283009178074,3.5394883,467.9791632,141.1986209,1372.75435466,0.4713758118803136
1997-10-17,0.0,3.5606573,467.9791632,141.1986209,1372.75435466,0.515118018952919
1997-10-18,0.0,3.4019418,467.9791632,141.1986209,1372.75435466,0.5041059947947806
1997-10-19,0.3335414253408893,3.323797,467.9791632,141.1986209,1372.75435466,0.6729570318862362
1997-10-20,1.8744605847293945,3.2921624,467.9791632,141.1986209,1372.75435466,0.4863644003177798
1997-10-21,0.079580831320142,3.2677393,467.9791632,141.1986209,1372.75435466,0.4848349525180383
1997-10-22,0.0635643628191941,3.312335,467.9791632,141.1986209,1372.75435466,0.4839172838381935
1997-10-23,3.038474913490832,2.9732008,467.9791632,141.1986209,1372.75435466,0.4750464865996931
1997-10-24,1.307184408134327,2.9076567,467.9791632,141.1986209,1372.75435466,0.4839172838381935
1997-10-25,2.724452653234715,2.8567798,467.9791632,141.1986209,1372.75435466,0.48452906295809
1997-10-26,5.744320839586672,3.089473,467.9791632,141.1986209,1372.75435466,0.3517729939405325
1997-10-27,16.89393190575885,2.921445,467.9791632,141.1986209,1372.75435466,0.5010470991952977
1997-10-28,2.5898457415564966,3.0066612,467.9791632,141.1986209,1372.75435466,0.5056354425945221
1997-10-29,10.62525173380476,2.595316,467.9791632,141.1986209,1372.75435466,0.5090002277539531
1997-10-30,4.911847706200919,2.4792318,467.9791632,141.1986209,1372.75435466,0.5200122519120917
1997-10-31,1.282958071771713,2.4598248,467.9791632,141.1986209,1372.75435466,0.5108355651136429
1997-11-01,0.0004914066137109,3.0667076,467.9791632,141.1986209,1372.75435466,0.4921763019567973
1997-11-02,0.8622134450916632,2.9763868,467.9791632,141.1986209,1372.75435466,0.5047177739146771
1997-11-03,0.0,2.796436,467.9791632,141.1986209,1372.75435466,0.4833055047182969
1997-11-04,0.0,3.1328201,467.9791632,141.1986209,1372.75435466,0.4842231733981417
1997-11-05,0.0,3.1366858,467.9791632,141.1986209,1372.75435466,0.4716817014402619
1997-11-06,0.0,3.2660842,467.9791632,141.1986209,1372.75435466,0.5105296755536947
1997-11-07,0.0,3.2517,467.9791632,141.1986209,1372.75435466,0.5105296755536947
1997-11-08,0.0,2.8519611,467.9791632,141.1986209,1372.75435466,0.429468942167398
